plate_number,well_row,well_column,marker_symbol,mgi_gene_id,entrez_id,gene_product
53,F,8,Olfr658,MGI:3030492,259051,olfactory receptor family 52 subfamily N member 4
53,F,10,Olfr678,MGI:3030512,258753,olfactory receptor family 52 subfamily E member 5
53,F,12,Olfr678,MGI:3030512,258753,olfactory receptor family 52 subfamily E member 5
53,F,14,Olfr697,MGI:3030531,258592,olfactory receptor family 2 subfamily AG member 15
53,F,16,Olfr697,MGI:3030531,258592,olfactory receptor family 2 subfamily AG member 15
53,F,18,Olfr78,MGI:2157548,170639,olfactory receptor family 51 subfamily E member 2
53,F,20,Olfr78,MGI:2157548,170639,olfactory receptor family 51 subfamily E member 2
53,F,22,Olfr487,MGI:3030321,258042,olfactory receptor family 5 subfamily P member 63
53,F,24,Olfr487,MGI:3030321,258042,olfactory receptor family 5 subfamily P member 63
53,H,2,Olfr510,MGI:3030344,258308,olfactory receptor family 5 subfamily P member 81
53,H,4,Olfr510,MGI:3030344,258308,olfactory receptor family 5 subfamily P member 81
53,H,6,Olfr530,MGI:3030364,258512,olfactory receptor family 12 subfamily J member 3
53,H,8,Olfr530,MGI:3030364,258512,olfactory receptor family 12 subfamily J member 3
53,H,10,Olfr552,MGI:3030386,259106,olfactory receptor family 52 subfamily K member 2
53,H,12,Olfr552,MGI:3030386,259106,olfactory receptor family 52 subfamily K member 2
53,H,14,Olfr574,MGI:3030408,258357,olfactory receptor family 51 subfamily T member 4
53,H,16,Olfr574,MGI:3030408,258357,olfactory receptor family 51 subfamily T member 4
53,H,18,Olfr6,MGI:104713,233670,olfactory receptor family 6 subfamily B member 9
53,H,20,Olfr6,MGI:104713,233670,olfactory receptor family 6 subfamily B member 9
53,H,22,Olfr616,MGI:3030450,259103,olfactory receptor family 51 subfamily AC member 3
53,H,24,Olfr616,MGI:3030450,259103,olfactory receptor family 51 subfamily AC member 3
53,J,2,Olfr640,MGI:3030474,258819,olfactory receptor family 51 subfamily I member 1D
53,J,4,Olfr640,MGI:3030474,258819,olfactory receptor family 51 subfamily I member 1D
53,J,6,Olfr488,MGI:3030322,258727,olfactory receptor family 5 subfamily P member 64
53,J,8,Olfr488,MGI:3030322,258727,olfactory receptor family 5 subfamily P member 64
53,J,10,Olfr512,MGI:3030346,258719,olfactory receptor family 10 subfamily A member 3M
53,J,12,Olfr512,MGI:3030346,258719,olfactory receptor family 10 subfamily A member 3M
53,J,14,Olfr531,MGI:3030365,258955,olfactory receptor family 2 subfamily J member 6
53,J,16,Olfr531,MGI:3030365,258955,olfactory receptor family 2 subfamily J member 6
53,J,18,Olfr553,MGI:3030387,233578,olfactory receptor family 52 subfamily M member 2
53,J,20,Olfr553,MGI:3030387,233578,olfactory receptor family 52 subfamily M member 2
53,J,22,Olfr575,MGI:3030409,259118,olfactory receptor family 51 subfamily A member 6
53,J,24,Olfr575,MGI:3030409,259118,olfactory receptor family 51 subfamily A member 6
53,L,2,Olfr60,MGI:1333881,18361,olfactory receptor family 13 subfamily A member 27
53,L,4,Olfr60,MGI:1333881,18361,olfactory receptor family 13 subfamily A member 27
53,L,6,Olfr617,MGI:3030451,258838,olfactory receptor family 52 subfamily Z member 12
53,L,8,Olfr617,MGI:3030451,258838,olfactory receptor family 52 subfamily Z member 12
53,L,10,OMIT,,,
53,L,12,OMIT,,,
53,L,14,Olfr641,MGI:3030475,259075,olfactory receptor family 51 subfamily I member 2
53,L,16,Olfr641,MGI:3030475,259075,olfactory receptor family 51 subfamily I member 2
53,L,18,Olfr66,MGI:1341906,18367,olfactory receptor family 51 subfamily B member 4
53,L,20,Olfr66,MGI:1341906,18367,olfactory receptor family 51 subfamily B member 4
53,L,22,Olfr68,MGI:1341790,18369,olfactory receptor family 52 subfamily A member 5
53,L,24,Olfr68,MGI:1341790,18369,olfactory receptor family 52 subfamily A member 5
53,N,2,Olfr699,MGI:3030533,258180,olfactory receptor family 2 subfamily AG member 17
53,N,4,Olfr699,MGI:3030533,258180,olfactory receptor family 2 subfamily AG member 17
53,N,6,Olfr490,MGI:3030324,258491,olfactory receptor family 5 subfamily P member 66
53,N,8,Olfr490,MGI:3030324,258491,olfactory receptor family 5 subfamily P member 66
53,N,10,Olfr513,MGI:3030347,258718,olfactory receptor family 5 subfamily E member 1
53,N,12,Olfr513,MGI:3030347,258718,olfactory receptor family 5 subfamily E member 1
53,N,14,Olfr554,MGI:3030388,258322,olfactory receptor family 52 subfamily M member 1
53,N,16,Olfr554,MGI:3030388,258322,olfactory receptor family 52 subfamily M member 1
53,N,18,Olfr577,MGI:3030411,259113,olfactory receptor family 51 subfamily G member 2
53,N,20,Olfr577,MGI:3030411,259113,olfactory receptor family 51 subfamily G member 2
53,N,22,Olfr618,MGI:3030452,259049,olfactory receptor family 52 subfamily Z member 13
53,N,24,Olfr618,MGI:3030452,259049,olfactory receptor family 52 subfamily Z member 13
53,P,2,Olfr642,MGI:3030476,258326,olfactory receptor family 51 subfamily A member 10
53,P,4,Olfr642,MGI:3030476,258326,olfactory receptor family 51 subfamily A member 10
53,P,6,Olfr661,MGI:3030495,258743,olfactory receptor family 56 subfamily B member 2
